zero six five twelve thirteen twenty twentyone fifteen twentytwo twentynine thirtysix thirtyseven fortyfour fortyfive fortysix fiftythree sixty sixtyone sixtytwo sixtythree seventy seventyseven seventyone seventyeight seventynine eighty eightyone eightyeight eightynine eightytwo seventyfive sixtyeight sixtyseven sixtysix sixtyfive fiftyeight fiftyone fifty fiftysix fiftyfive fortyeight fortyseven forty thirtythree twentysix twentyfive twentyfour seventeen ten three four zero
44
zero two
three three
four four
five five
six six
ten ten
twelve twelve
thirteen fourteen
fifteen fifteen
twenty twenty
twentytwo twentytwo
twentyfour twentyfour
twentyfive twentyfive
twentynine twentynine thirty thirtyfive
thirtythree thirtythree thirtyfour
thirtysix thirtysix
thirtyseven thirtyseven
forty thirtynine
fortyfour fortyfour
fortyfive fortyfive
fortyseven fortyseven
fortyeight fortyeight
fifty fifty
fiftyone fiftyone
fiftythree fiftythree
fiftyfive fiftyfive
sixtythree fiftyseven
sixty sixty
sixtyone sixtyone
sixtytwo sixtytwo
sixtyfive sixtyfive
sixtysix sixtysix
sixtyseven sixtyseven
sixtyeight sixtyeight
seventy seventy
seventyone seventyone
seventyfive seventyfive
seventyseven seventyseven
seventyeight seventyeight eightyfour
seventynine seventynine
eightyone eightyone
eightytwo eightytwo
eightyeight eightyseven eightyeight ninetyfive
eightynine eightynine
